Date,Adj Close
2021-01-11,35566.65625
2021-01-12,33922.9609375
2021-01-13,37316.359375
2021-01-14,39187.328125
2021-01-15,36825.3671875
2021-01-16,36178.140625
2021-01-17,35791.27734375
2021-01-18,36630.07421875
2021-01-19,36069.8046875
2021-01-20,35547.75
2021-01-21,30825.69921875
2021-01-22,33005.76171875
2021-01-23,32067.642578125
2021-01-24,32289.37890625
2021-01-25,32366.392578125
2021-01-26,32569.849609375
2021-01-27,30432.546875
2021-01-28,33466.09765625
2021-01-29,34316.38671875
2021-01-30,34269.5234375
2021-01-31,33114.359375
2021-02-01,33537.17578125
2021-02-02,35510.2890625
2021-02-03,37472.08984375
2021-02-04,36926.06640625
2021-02-05,38144.30859375
2021-02-06,39266.01171875
2021-02-07,38903.44140625
2021-02-08,46196.46484375
2021-02-09,46481.10546875
2021-02-10,44918.18359375
2021-02-11,47909.33203125
2021-02-12,47504.8515625
2021-02-13,47105.515625
2021-02-14,48717.2890625
2021-02-15,47945.05859375
2021-02-16,49199.87109375
2021-02-17,52149.0078125
2021-02-18,51679.796875
2021-02-19,55888.1328125
2021-02-20,56099.51953125
2021-02-21,57539.9453125
2021-02-22,54207.3203125
2021-02-23,48824.42578125
2021-02-24,49705.33203125
2021-02-25,47093.8515625
2021-02-26,46339.76171875
2021-02-27,46188.453125
2021-02-28,45137.76953125
2021-03-01,49631.2421875
2021-03-02,48378.98828125
2021-03-03,50538.2421875
2021-03-04,48561.16796875
2021-03-05,48927.3046875
2021-03-06,48912.3828125
2021-03-07,51206.69140625
2021-03-08,52246.5234375
2021-03-09,54824.1171875
2021-03-10,56008.55078125
2021-03-11,57805.12109375
2021-03-12,57332.08984375
2021-03-13,61243.0859375
2021-03-14,59302.31640625
2021-03-15,55907.19921875
2021-03-16,56804.90234375
2021-03-17,58870.89453125
2021-03-18,57858.921875
2021-03-19,58346.65234375
2021-03-20,58313.64453125
2021-03-21,57523.421875
2021-03-22,54529.14453125
2021-03-23,54738.9453125
2021-03-24,52774.265625
2021-03-25,51704.16015625
2021-03-26,55137.3125
2021-03-27,55973.51171875
2021-03-28,55950.74609375
2021-03-29,57750.19921875
2021-03-30,58917.69140625
2021-03-31,58918.83203125
2021-04-01,59095.80859375
2021-04-02,59384.3125
2021-04-03,57603.890625
2021-04-04,58758.5546875
2021-04-05,59057.87890625
2021-04-06,58192.359375
2021-04-07,56048.9375
2021-04-08,58323.953125
2021-04-09,58245.00390625
2021-04-10,59793.234375
2021-04-11,60204.96484375
2021-04-12,59893.453125
